danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artists
0.63,0.393,1,-10.762,1,0.183,0.88,0,0.0894,0.166,145.051,audio_features,1fyVvRQsa095P7QK5Um7xH,spotify:track:1fyVvRQsa095P7QK5Um7xH,https://api.spotify.com/v1/tracks/1fyVvRQsa095P7QK5Um7xH,https://api.spotify.com/v1/audio-analysis/1fyVvRQsa095P7QK5Um7xH,207076,4,Grand bain,Dadju;Ninho
0.813,0.64,2,-5.908,1,0.272,0.269,0,0.131,0.488,92.989,audio_features,34FbkFgAbv4ffvhL2XQMVm,spotify:track:34FbkFgAbv4ffvhL2XQMVm,https://api.spotify.com/v1/tracks/34FbkFgAbv4ffvhL2XQMVm,https://api.spotify.com/v1/audio-analysis/34FbkFgAbv4ffvhL2XQMVm,147076,4,Jolie nana,Aya Nakamura
0.901,0.939,6,-2.762,1,0.274,0.117,0,0.0643,0.805,142.948,audio_features,205HNJ73cgpC0LAOnuQiWT,spotify:track:205HNJ73cgpC0LAOnuQiWT,https://api.spotify.com/v1/tracks/205HNJ73cgpC0LAOnuQiWT,https://api.spotify.com/v1/audio-analysis/205HNJ73cgpC0LAOnuQiWT,356347,4,Bande organisée,Kofs;Soso Maness;Elams;Jul;SCH;Naps;Solda;Houari;13 Organisé
0.745,0.656,11,-6.829,0,0.203,0.0604,0,0.11,0.405,137.997,audio_features,7BO3y8lmogACezwHqZ1HTB,spotify:track:7BO3y8lmogACezwHqZ1HTB,https://api.spotify.com/v1/tracks/7BO3y8lmogACezwHqZ1HTB,https://api.spotify.com/v1/audio-analysis/7BO3y8lmogACezwHqZ1HTB,201333,4,BXL ZOO,Damso;Hamza
0.901,0.939,6,-2.762,1,0.274,0.117,0,0.0643,0.805,142.948,audio_features,6YzQOngfcV0W9F8UOTnEEK,spotify:track:6YzQOngfcV0W9F8UOTnEEK,https://api.spotify.com/v1/tracks/6YzQOngfcV0W9F8UOTnEEK,https://api.spotify.com/v1/audio-analysis/6YzQOngfcV0W9F8UOTnEEK,356347,4,Bande organisée,13 Organisé;SCH;Kofs;Jul;Naps;Soso Maness;Elams;Solda;Houari
0.913,0.52,6,-8.581,0,0.348,0.174,0,0.0592,0.568,126.959,audio_features,4EmLZvANhzJKh2Dt4k2GQK,spotify:track:4EmLZvANhzJKh2Dt4k2GQK,https://api.spotify.com/v1/tracks/4EmLZvANhzJKh2Dt4k2GQK,https://api.spotify.com/v1/audio-analysis/4EmLZvANhzJKh2Dt4k2GQK,188976,4,5G,Booba
0.605,0.419,1,-9.032,1,0.0342,0.373,0,0.128,0.291,152.161,audio_features,7iZVBT6LV32t4l00p73VAw,spotify:track:7iZVBT6LV32t4l00p73VAw,https://api.spotify.com/v1/tracks/7iZVBT6LV32t4l00p73VAw,https://api.spotify.com/v1/audio-analysis/7iZVBT6LV32t4l00p73VAw,175257,4,Plus Jamais (feat. Stormzy),Aya Nakamura;Stormzy
0.907,0.63,6,-6.669,0,0.243,0.174,0.000293,0.376,0.388,100.941,audio_features,0lit1XQsSQe7LKnzL6VMaF,spotify:track:0lit1XQsSQe7LKnzL6VMaF,https://api.spotify.com/v1/tracks/0lit1XQsSQe7LKnzL6VMaF,https://api.spotify.com/v1/audio-analysis/0lit1XQsSQe7LKnzL6VMaF,159013,4,9 1 1 3 (feat. SCH),Zola;SCH
0.901,0.939,6,-2.762,1,0.274,0.117,0,0.0643,0.805,142.948,audio_features,717QGTmZdkemDaCo1vQHG0,spotify:track:717QGTmZdkemDaCo1vQHG0,https://api.spotify.com/v1/tracks/717QGTmZdkemDaCo1vQHG0,https://api.spotify.com/v1/audio-analysis/717QGTmZdkemDaCo1vQHG0,356347,4,Bande organisée,13 Organisé;SCH;Kofs;Jul;Naps;Soso Maness;Elams;Solda;Houari
0.918,0.399,1,-8.795,1,0.37,0.19,0,0.0751,0.483,109.031,audio_features,7xISE22N518t5HLsibFvEC,spotify:track:7xISE22N518t5HLsibFvEC,https://api.spotify.com/v1/tracks/7xISE22N518t5HLsibFvEC,https://api.spotify.com/v1/audio-analysis/7xISE22N518t5HLsibFvEC,203453,4,Moins un,Dinos;Nekfeu
