danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artists
0.631,0.585,1,-8.617,0,0.0658,0.35,0,0.106,0.387,179.932,audio_features,00WSG2jWrgq8Ln8lVLEkOr,spotify:track:00WSG2jWrgq8Ln8lVLEkOr,https://api.spotify.com/v1/tracks/00WSG2jWrgq8Ln8lVLEkOr,https://api.spotify.com/v1/audio-analysis/00WSG2jWrgq8Ln8lVLEkOr,175400,4,3.5.7,Kaza
0.775,0.815,5,-3.495,0,0.243,0.115,0,0.12,0.538,96.988,audio_features,00XeFRxGrbMQoJPqVJSDjl,spotify:track:00XeFRxGrbMQoJPqVJSDjl,https://api.spotify.com/v1/tracks/00XeFRxGrbMQoJPqVJSDjl,https://api.spotify.com/v1/audio-analysis/00XeFRxGrbMQoJPqVJSDjl,152213,4,Schüsse im Regen,Samra
0.539,0.267,9,-15.961,0,0.714,0.454,0.0001,0.101,0.174,190.932,audio_features,00ZBADBKZGwnzGIAA6U9Fb,spotify:track:00ZBADBKZGwnzGIAA6U9Fb,https://api.spotify.com/v1/tracks/00ZBADBKZGwnzGIAA6U9Fb,https://api.spotify.com/v1/audio-analysis/00ZBADBKZGwnzGIAA6U9Fb,171250,4,Muerto,Kaze
0.398,0.837,7,-5.945,0,0.29,0.453,0,0.133,0.685,77.114,audio_features,00ijC66NVGxtd19P0ntH9N,spotify:track:00ijC66NVGxtd19P0ntH9N,https://api.spotify.com/v1/tracks/00ijC66NVGxtd19P0ntH9N,https://api.spotify.com/v1/audio-analysis/00ijC66NVGxtd19P0ntH9N,162857,4,Lacrime,Samurai Jay;Dat Boi Dee
0.876,0.803,1,-4.266,1,0.14,0.113,0,0.0509,0.68,98.014,audio_features,00ikK805fq2xrYmlCsbTQi,spotify:track:00ikK805fq2xrYmlCsbTQi,https://api.spotify.com/v1/tracks/00ikK805fq2xrYmlCsbTQi,https://api.spotify.com/v1/audio-analysis/00ikK805fq2xrYmlCsbTQi,171537,4,Como É Que Vamos Fazer?,Jey
0.674,0.533,7,-7.51,0,0.0638,0.436,0,0.104,0.295,144.741,audio_features,00jdZMZMVMkt6FRHyRY2Z5,spotify:track:00jdZMZMVMkt6FRHyRY2Z5,https://api.spotify.com/v1/tracks/00jdZMZMVMkt6FRHyRY2Z5,https://api.spotify.com/v1/audio-analysis/00jdZMZMVMkt6FRHyRY2Z5,227729,4,Dernière fois,Alonzo;Imen Es
0.393,0.418,4,-8.976,1,0.0269,0.664,5.46e-05,0.108,0.346,175.548,audio_features,00kIWJu9IHiQ6i0qJAU0Z9,spotify:track:00kIWJu9IHiQ6i0qJAU0Z9,https://api.spotify.com/v1/tracks/00kIWJu9IHiQ6i0qJAU0Z9,https://api.spotify.com/v1/audio-analysis/00kIWJu9IHiQ6i0qJAU0Z9,241880,3,Amor Completo,Mon Laferte
0.44,0.838,9,-6.196,1,0.0423,0.0956,0,0.473,0.619,138.908,audio_features,00pXPeNvEBEFNUTVBT62QI,spotify:track:00pXPeNvEBEFNUTVBT62QI,https://api.spotify.com/v1/tracks/00pXPeNvEBEFNUTVBT62QI,https://api.spotify.com/v1/audio-analysis/00pXPeNvEBEFNUTVBT62QI,253627,4,Christmas All Over Again,Tom Petty and the Heartbreakers
0.557,0.322,0,-12.039,1,0.0275,0.768,0.000188,0.0985,0.199,75.985,audio_features,00rqz2YF3u3C0FaKkpXdTS,spotify:track:00rqz2YF3u3C0FaKkpXdTS,https://api.spotify.com/v1/tracks/00rqz2YF3u3C0FaKkpXdTS,https://api.spotify.com/v1/audio-analysis/00rqz2YF3u3C0FaKkpXdTS,198640,4,merry christmas darling,Christina Perri
0.841,0.644,10,-5.882,1,0.232,0.536,3.22e-06,0.091,0.307,79.006,audio_features,00y6yHW6kv07HqWmodzjGb,spotify:track:00y6yHW6kv07HqWmodzjGb,https://api.spotify.com/v1/tracks/00y6yHW6kv07HqWmodzjGb,https://api.spotify.com/v1/audio-analysis/00y6yHW6kv07HqWmodzjGb,184413,4,SANG FROID,Sneazzy;Laylow
