danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artists
0.417,0.745,11,-5.498,1,0.188,0.031,0,0.323,0.957,203.946,audio_features,0GbSx7ZDY4tp1cEkHcaDqQ,spotify:track:0GbSx7ZDY4tp1cEkHcaDqQ,https://api.spotify.com/v1/tracks/0GbSx7ZDY4tp1cEkHcaDqQ,https://api.spotify.com/v1/audio-analysis/0GbSx7ZDY4tp1cEkHcaDqQ,182114,4,Cristinax,Fer Palacio
0.798,0.77,11,-7.501,0,0.0604,0.0521,1.36e-05,0.1,0.463,124.032,audio_features,0I1eXIH6Y4pjr3GmDrfYhl,spotify:track:0I1eXIH6Y4pjr3GmDrfYhl,https://api.spotify.com/v1/tracks/0I1eXIH6Y4pjr3GmDrfYhl,https://api.spotify.com/v1/audio-analysis/0I1eXIH6Y4pjr3GmDrfYhl,138042,4,Malibu de Coco,Oscu
0.856,0.473,1,-9.279,1,0.15,0.0477,1.41e-05,0.107,0.718,133.988,audio_features,0IYDgP8MLQn0FYCuCZOlgx,spotify:track:0IYDgP8MLQn0FYCuCZOlgx,https://api.spotify.com/v1/tracks/0IYDgP8MLQn0FYCuCZOlgx,https://api.spotify.com/v1/audio-analysis/0IYDgP8MLQn0FYCuCZOlgx,268330,4,Yakuza,Mesita;John C;El Futuro Fuera De Orbita;Blunted Vato
0.54,0.508,7,-7.868,0,0.29,0.522,1.13e-05,0.0755,0.653,82.606,audio_features,0K3dGPXHVALEqW8EEQGc3T,spotify:track:0K3dGPXHVALEqW8EEQGc3T,https://api.spotify.com/v1/tracks/0K3dGPXHVALEqW8EEQGc3T,https://api.spotify.com/v1/audio-analysis/0K3dGPXHVALEqW8EEQGc3T,203137,4,DELITO,Nathy Peluso
0.552,0.633,4,-5.482,0,0.0422,0.491,0,0.435,0.953,205.938,audio_features,0KiCTfcOJiUPGNBMu98CJ9,spotify:track:0KiCTfcOJiUPGNBMu98CJ9,https://api.spotify.com/v1/tracks/0KiCTfcOJiUPGNBMu98CJ9,https://api.spotify.com/v1/audio-analysis/0KiCTfcOJiUPGNBMu98CJ9,232427,4,Doble Vida,Los Palmeras;Chaqueño Palavecino
0.585,0.841,0,-6.269,1,0.0408,0.188,0,0.36,0.928,156.982,audio_features,0Ldh6OMRNPUAkDazVwnKWP,spotify:track:0Ldh6OMRNPUAkDazVwnKWP,https://api.spotify.com/v1/tracks/0Ldh6OMRNPUAkDazVwnKWP,https://api.spotify.com/v1/audio-analysis/0Ldh6OMRNPUAkDazVwnKWP,246360,4,Adicto A Ti,Walter Olmos
0.781,0.866,5,-3.493,0,0.0867,0.216,0,0.101,0.864,95.993,audio_features,0LzzrTU0t5sktycXOhViX4,spotify:track:0LzzrTU0t5sktycXOhViX4,https://api.spotify.com/v1/tracks/0LzzrTU0t5sktycXOhViX4,https://api.spotify.com/v1/audio-analysis/0LzzrTU0t5sktycXOhViX4,165646,4,Fresa,TINI;Lalo Ebratt
0.519,0.629,1,-4.29,1,0.156,0.161,0,0.16,0.548,79.01,audio_features,0MbkiHMyocbiG3GsWgY8n0,spotify:track:0MbkiHMyocbiG3GsWgY8n0,https://api.spotify.com/v1/tracks/0MbkiHMyocbiG3GsWgY8n0,https://api.spotify.com/v1/audio-analysis/0MbkiHMyocbiG3GsWgY8n0,169613,4,Hotel California,Ke Personajes
0.62,0.608,7,-4.78,1,0.029,0.201,0,0.0625,0.608,139.066,audio_features,0N361WhEqVunVl5ZBkfd70,spotify:track:0N361WhEqVunVl5ZBkfd70,https://api.spotify.com/v1/tracks/0N361WhEqVunVl5ZBkfd70,https://api.spotify.com/v1/audio-analysis/0N361WhEqVunVl5ZBkfd70,237800,4,El Fantasma,Árbol
0.483,0.821,0,-6.575,1,0.079,0.13,0,0.103,0.691,203.93,audio_features,0NfrqQWc7ptAmlGSQ20y4E,spotify:track:0NfrqQWc7ptAmlGSQ20y4E,https://api.spotify.com/v1/tracks/0NfrqQWc7ptAmlGSQ20y4E,https://api.spotify.com/v1/audio-analysis/0NfrqQWc7ptAmlGSQ20y4E,133425,4,Bésame (Siéntelo),Fran Argiro;Ivan Armesto;Rodri Roberts
0.882,0.777,5,-4.445,1,0.0504,0.354,0,0.135,0.533,121.985,audio_features,0OWcpVA83HI8Pb5DybDuoX,spotify:track:0OWcpVA83HI8Pb5DybDuoX,https://api.spotify.com/v1/tracks/0OWcpVA83HI8Pb5DybDuoX,https://api.spotify.com/v1/audio-analysis/0OWcpVA83HI8Pb5DybDuoX,456940,4,"Tumbando el Club (feat. C.R.O, Obiewanshot, Ysy A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",Neo Pistea;C.R.O;Obie Wanshot;YSY A;Cazzu;KHEA;Lucho SSJ;Coqeéin Montana;Marcianos Crew;Duki
0.863,0.721,4,-5.449,0,0.0749,0.119,5.19e-06,0.23,0.649,96.963,audio_features,0QybGDVxDgJ2KQia5JK25y,spotify:track:0QybGDVxDgJ2KQia5JK25y,https://api.spotify.com/v1/tracks/0QybGDVxDgJ2KQia5JK25y,https://api.spotify.com/v1/audio-analysis/0QybGDVxDgJ2KQia5JK25y,151843,4,Esa Nalga Brinca,Dj Raulito
0.865,0.655,0,-6.313,1,0.0592,0.115,0.000639,0.0519,0.648,100.033,audio_features,0RY5jbmys8KJEjVqG8ONuZ,spotify:track:0RY5jbmys8KJEjVqG8ONuZ,https://api.spotify.com/v1/tracks/0RY5jbmys8KJEjVqG8ONuZ,https://api.spotify.com/v1/audio-analysis/0RY5jbmys8KJEjVqG8ONuZ,139200,4,Inolvidablex,bauti bory;MDS
0.714,0.193,4,-17.68,0,0.191,0.505,0,0.107,0.405,123.796,audio_features,0Vj4Brc4OoILysscc71aw8,spotify:track:0Vj4Brc4OoILysscc71aw8,https://api.spotify.com/v1/tracks/0Vj4Brc4OoILysscc71aw8,https://api.spotify.com/v1/audio-analysis/0Vj4Brc4OoILysscc71aw8,171429,4,Dime Como Hago,Maria Becerra
0.885,0.6,0,-5.836,0,0.0374,0.0595,0.0344,0.057,0.359,130.016,audio_features,0WRHSge90uKgvisLnruav2,spotify:track:0WRHSge90uKgvisLnruav2,https://api.spotify.com/v1/tracks/0WRHSge90uKgvisLnruav2,https://api.spotify.com/v1/audio-analysis/0WRHSge90uKgvisLnruav2,294547,4,La Playa,DJ Alex
0.698,0.718,5,-4.057,0,0.355,0.196,0,0.156,0.672,186.093,audio_features,0Xy1I0AB5QN49uphYYgJ3v,spotify:track:0Xy1I0AB5QN49uphYYgJ3v,https://api.spotify.com/v1/tracks/0Xy1I0AB5QN49uphYYgJ3v,https://api.spotify.com/v1/audio-analysis/0Xy1I0AB5QN49uphYYgJ3v,219591,4,AMAME,LOUTA
0.709,0.787,9,-6.3,1,0.0279,0.0891,0,0.149,0.874,118.001,audio_features,0ZAJ660VP57lLK4U7NlGOy,spotify:track:0ZAJ660VP57lLK4U7NlGOy,https://api.spotify.com/v1/tracks/0ZAJ660VP57lLK4U7NlGOy,https://api.spotify.com/v1/audio-analysis/0ZAJ660VP57lLK4U7NlGOy,260371,4,Nunca quise,Intoxicados
0.869,0.53,9,-9.655,0,0.0698,0.0315,0.000123,0.0395,0.749,107.908,audio_features,0aad6vDkOmu9d1aFNvOwYC,spotify:track:0aad6vDkOmu9d1aFNvOwYC,https://api.spotify.com/v1/tracks/0aad6vDkOmu9d1aFNvOwYC,https://api.spotify.com/v1/audio-analysis/0aad6vDkOmu9d1aFNvOwYC,313733,4,¿Qué Ves?,Divididos
