danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artists
0.689,0.566,5,-5.591,1,0.161,0.631,0,0.0769,0.413,123.673,audio_features,0Q3sh5WiTcP0wrvfGbTu2R,spotify:track:0Q3sh5WiTcP0wrvfGbTu2R,https://api.spotify.com/v1/tracks/0Q3sh5WiTcP0wrvfGbTu2R,https://api.spotify.com/v1/audio-analysis/0Q3sh5WiTcP0wrvfGbTu2R,203813,4,2020 (feat. Slow J),Lhast;Slow J
0.796,0.762,11,-4.732,0,0.223,0.212,0,0.12,0.461,109.937,audio_features,0QB2KH3LLLh1iCEj31tRbN,spotify:track:0QB2KH3LLLh1iCEj31tRbN,https://api.spotify.com/v1/tracks/0QB2KH3LLLh1iCEj31tRbN,https://api.spotify.com/v1/audio-analysis/0QB2KH3LLLh1iCEj31tRbN,205647,4,Chora Agora,Piruka
0.638,0.656,1,-6.576,1,0.212,0.188,0,0.176,0.495,88.049,audio_features,0TeztqSxQL0OdnYR3XQV1R,spotify:track:0TeztqSxQL0OdnYR3XQV1R,https://api.spotify.com/v1/tracks/0TeztqSxQL0OdnYR3XQV1R,https://api.spotify.com/v1/audio-analysis/0TeztqSxQL0OdnYR3XQV1R,180007,4,Estragar o que Está Bom,Edgar Domingos
0.735,0.761,0,-9.424,0,0.46,0.16,7.62e-05,0.134,0.152,107.055,audio_features,0VoXqU82KkwEab9b5f8T4M,spotify:track:0VoXqU82KkwEab9b5f8T4M,https://api.spotify.com/v1/tracks/0VoXqU82KkwEab9b5f8T4M,https://api.spotify.com/v1/audio-analysis/0VoXqU82KkwEab9b5f8T4M,202991,4,Malibu,ProfJam
0.509,0.528,7,-5.18,0,0.438,0.695,0,0.125,0.52,173.999,audio_features,0WmSoWksyfhCME62WhkP2U,spotify:track:0WmSoWksyfhCME62WhkP2U,https://api.spotify.com/v1/tracks/0WmSoWksyfhCME62WhkP2U,https://api.spotify.com/v1/audio-analysis/0WmSoWksyfhCME62WhkP2U,235862,3,Romance de Cinema,Domingues
0.389,0.568,7,-7.361,1,0.0278,0.131,6.29e-06,0.0985,0.209,99.863,audio_features,0XW0P6I0w8o2X6Xjj9jbHt,spotify:track:0XW0P6I0w8o2X6Xjj9jbHt,https://api.spotify.com/v1/tracks/0XW0P6I0w8o2X6Xjj9jbHt,https://api.spotify.com/v1/audio-analysis/0XW0P6I0w8o2X6Xjj9jbHt,183543,4,O Amor É o Segredo,Vitor Kley
0.803,0.542,4,-9.769,0,0.149,0.459,1.8e-05,0.171,0.923,149.992,audio_features,0YLFjsPcB0ZoGh6hmS1eNV,spotify:track:0YLFjsPcB0ZoGh6hmS1eNV,https://api.spotify.com/v1/tracks/0YLFjsPcB0ZoGh6hmS1eNV,https://api.spotify.com/v1/audio-analysis/0YLFjsPcB0ZoGh6hmS1eNV,174413,4,Kriolu (feat. Julinho KSD),Dino d'Santiago;Julinho Ksd
0.904,0.723,11,-5.224,0,0.26,0.0631,0,0.185,0.835,145.013,audio_features,0ZLuW8uOXdFNWcI40C0OC2,spotify:track:0ZLuW8uOXdFNWcI40C0OC2,https://api.spotify.com/v1/tracks/0ZLuW8uOXdFNWcI40C0OC2,https://api.spotify.com/v1/audio-analysis/0ZLuW8uOXdFNWcI40C0OC2,227478,4,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow;Tory Lanez;DaBaby;Lil Wayne
0.535,0.298,8,-13.671,0,0.432,0.608,1.63e-05,0.111,0.588,68.337,audio_features,0dLrhO7oCMp0hQvXAUgbaC,spotify:track:0dLrhO7oCMp0hQvXAUgbaC,https://api.spotify.com/v1/tracks/0dLrhO7oCMp0hQvXAUgbaC,https://api.spotify.com/v1/audio-analysis/0dLrhO7oCMp0hQvXAUgbaC,306733,4,Saudade,Dillaz
0.841,0.618,2,-5.531,1,0.0943,0.246,0.00345,0.112,0.57,98.961,audio_features,0djwZ9ZC5PNjTgFJgDHbN6,spotify:track:0djwZ9ZC5PNjTgFJgDHbN6,https://api.spotify.com/v1/tracks/0djwZ9ZC5PNjTgFJgDHbN6,https://api.spotify.com/v1/audio-analysis/0djwZ9ZC5PNjTgFJgDHbN6,217273,4,Plena,Nelson Freitas;Julinho Ksd
